#;Date;Categorie;BL;Description;Debit;Credit;Solde
1;15/06/2026 15:05;Alimentation;;Alimentation caisse — Rabah Brahim;;10700.00;10700.04
2;18/06/2026 13:11;Alimentation;;Alimentation caisse — Rabah Brahim;;300000.00;310700.04
3;22/06/2026 13:35;Paiement désignation;ZZH0102706;"Paiement désignation ""Camion"" — Transit 6a3433745cfbaec545c39638";25600.00;;285100.04
4;22/06/2026 13:35;Paiement désignation;ZZH0102706;"Paiement désignation ""Bon de livret"" — Transit 6a3433745cfbaec545c39638";68790.00;;216310.04
5;22/06/2026 13:35;Paiement désignation;ZZH0102646;"Paiement désignation ""Camion"" — Transit 6a3433945cfbaec545c3965d";19200.00;;197110.04
6;22/06/2026 13:35;Paiement désignation;ZZH0102646;"Paiement désignation ""Bon de livret"" — Transit 6a3433945cfbaec545c3965d";51741.00;;145369.04
7;22/06/2026 17:26;Alimentation;;Alimentation caisse — Rabah Brahim;;460000.00;605369.04
8;24/06/2026 16:16;Paiement désignation;NGP3492537;"Paiement désignation ""Bon de livret"" — Transit 6a34102808dfbcc549e8701d";16547.00;;588822.04
9;24/06/2026 16:16;Paiement désignation;NGP3492537;"Paiement désignation ""Camion"" — Transit 6a34102808dfbcc549e8701d";6400.00;;582422.04
10;24/06/2026 16:16;Paiement désignation;NGP3508618;"Paiement désignation ""Bon de livret"" — Transit 6a34101f08dfbcc549e87003";17047.00;;565375.04
11;24/06/2026 16:16;Paiement désignation;NGP3508618;"Paiement désignation ""Camion"" — Transit 6a34101f08dfbcc549e87003";6400.00;;558975.04
12;24/06/2026 16:16;Paiement désignation;ZZH0102748;"Paiement désignation ""Bon de livret"" — Transit 6a3a5762f189fa61f00164db";142876.00;;416099.04
13;24/06/2026 16:16;Paiement désignation;ZZH0102748;"Paiement désignation ""Camion"" — Transit 6a3a5762f189fa61f00164db";19200.00;;396899.04
14;24/06/2026 16:16;Paiement désignation;ZZH0102747;"Paiement désignation ""Bon de livret"" — Transit 6a3a5742f189fa61f00164cf";192490.00;;204409.04
15;24/06/2026 16:16;Paiement désignation;ZZH0102747;"Paiement désignation ""Camion"" — Transit 6a3a5742f189fa61f00164cf";25600.00;;178809.04
16;24/06/2026 16:16;Paiement désignation;NGP3492525;"Paiement désignation ""Camion"" — Transit 6a34100d08dfbcc549e86fd2";6400.00;;172409.04
17;24/06/2026 16:16;Paiement désignation;NGP3492525;"Paiement désignation ""Bon de livret"" — Transit 6a34100d08dfbcc549e86fd2";16547.00;;155862.04
18;24/06/2026 16:16;Paiement désignation;NGP3492600;"Paiement désignation ""Camion"" — Transit 6a3a6eb3aed8ff16536072a3";6400.00;;149462.04
19;24/06/2026 16:16;Paiement désignation;NGP3467097;"Paiement désignation ""Camion"" — Transit 6a34101508dfbcc549e86fea";6400.00;;143062.04
